iter	Passed	Remaining
403	5185	1232
404	5194	1218
405	5204	1205
406	5215	1191
407	5223	1177
408	5235	1164
409	5246	1151
410	5255	1138
411	5267	1125
412	5279	1112
413	5289	1098
414	5301	1085
415	5312	1072
416	5322	1059
417	5335	1046
418	5347	1033
419	5364	1021
420	5378	1009
421	5393	996
422	5407	984
423	5426	972
424	5442	960
425	5455	947
426	5464	934
427	5476	921
428	5487	908
429	5497	894
430	5509	881
431	5518	868
432	5529	855
433	5540	842
434	5551	829
435	5560	816
436	5571	803
437	5580	789
438	5591	776
439	5602	763
440	5611	750
441	5621	737
442	5633	724
443	5641	711
444	5654	698
445	5675	687
446	5687	674
447	5702	661
448	5715	649
449	5729	636
450	5740	623
451	5751	610
452	5764	598
453	5780	585
454	5799	573
455	5818	561
456	5835	549
457	5851	536
458	5867	524
459	5885	511
460	5896	498
461	5920	486
462	5936	474
463	5948	461
464	5963	448
465	5977	436
466	5991	423
467	6005	410
468	6021	398
469	6036	385
470	6051	372
471	6068	359
472	6085	347
473	6099	334
474	6112	321
475	6124	308
476	6137	295
477	6152	283
478	6170	270
479	6181	257
480	6193	244
481	6204	231
482	6214	218
483	6226	205
484	6238	192
485	6250	180
486	6264	167
487	6276	154
488	6291	141
489	6305	128
490	6316	115
491	6325	102
492	6336	89
493	6345	77
494	6357	64
495	6367	51
496	6376	38
497	6389	25
498	6402	12
499	6414	0
