iter	MultiClass
0	0.9513619355
1	0.8322440241
2	0.7349648333
3	0.6550068265
4	0.5928851562
5	0.5401422301
6	0.4932366653
7	0.4569718131
8	0.4202873394
9	0.388698758
10	0.3601247118
11	0.3352176852
12	0.3167817996
13	0.2958374367
14	0.2773921729
15	0.2609498037
16	0.24549194
17	0.232325148
18	0.2209202769
19	0.2101313456
20	0.2010700478
21	0.1924477562
22	0.1853076252
23	0.1791830641
24	0.1721085006
25	0.1655326673
26	0.1600519206
27	0.1555646656
28	0.1512761112
29	0.14714511
30	0.1439266358
31	0.140927364
32	0.138019249
33	0.134933328
34	0.1322600055
35	0.1298190826
36	0.1279513797
37	0.1254002045
38	0.1231649737
39	0.1211099588
40	0.1183106728
41	0.1162340431
42	0.1150100828
43	0.113020663
44	0.1113236095
45	0.1102689417
46	0.1097221267
47	0.1088654657
48	0.1080960813
49	0.1071852872
50	0.106178764
51	0.105204713
52	0.1041720067
53	0.1035984162
54	0.1029340711
55	0.1024949622
56	0.1019503559
57	0.1011254216
58	0.1002144201
59	0.09934308564
60	0.09874928588
61	0.0980197686
62	0.09731611901
63	0.0968006416
64	0.09640256275
65	0.09576374122
66	0.09509714089
67	0.09458658705
68	0.09380205303
69	0.09346951476
70	0.09283879258
71	0.0923629232
72	0.09207392046
73	0.09159126426
74	0.09113655865
75	0.09064891324
76	0.08988123685
77	0.08955999599
78	0.08922383166
79	0.08892428567
80	0.08838911992
81	0.08814937137
82	0.08782495444
83	0.08715550218
84	0.08659618945
85	0.08604860108
86	0.08555494615
87	0.08524976516
88	0.08509351449
89	0.08474862862
90	0.08435774745
91	0.08398310378
92	0.08371202606
93	0.08343458964
94	0.08313812888
95	0.08265653418
96	0.08232780108
97	0.082063091
98	0.08164868402
99	0.08134590074
100	0.0809547687
101	0.08060624932
102	0.08034644392
103	0.08005898241
104	0.07984277104
105	0.07951546586
106	0.07927929883
107	0.07897922768
108	0.07867790951
109	0.0784934807
110	0.07807517481
111	0.0777342442
112	0.07722172892
113	0.07704388178
114	0.07695499891
115	0.07674415863
116	0.07645130176
117	0.07632156437
118	0.07613915218
119	0.07586178027
120	0.07572566984
121	0.07534889656
122	0.07495672971
123	0.07482040837
124	0.07466381418
125	0.07442911163
126	0.07417991308
127	0.07393894908
128	0.07385486297
129	0.07353301961
130	0.07324011286
131	0.07295682442
132	0.07285594011
133	0.07264152294
134	0.0725009621
135	0.07231114879
136	0.07210065043
137	0.07192814692
138	0.07175095287
139	0.07152860923
140	0.07120038338
141	0.07091101997
142	0.0707002583
143	0.07048320663
144	0.0702504914
145	0.07000073276
146	0.0695996249
147	0.06934496904
148	0.06912559933
149	0.069089299
150	0.0688898347
151	0.06875794313
152	0.06854264649
153	0.0684090114
